ticker,n_days,last_close,min_close,median_dollars,max_1d,max_1d_date,max_5d,max_5d_start,window_ret,move_date,move_size,cause,n_filings,forms,all_causes
AAOI,27,76.5199966430664,76.5199966430664,1001806564.956665,0.15763935179915456,2026-07-21,0.1175179472300707,2026-07-16,-0.5531157007979786,2026-07-21,0.15763935179915456,insider,2,"144,4",insider
AAMI,27,80.83000183105469,69.7699966430664,32350731.94656372,0.08291155413352658,2026-07-06,0.11725280823110351,2026-07-02,0.09392343346505028,2026-07-02,0.11725280823110351,NO KNOWN CAUSE,0,,
AARD,27,5.320000171661377,4.079999923706055,1191024.0035057068,0.5199999809265137,2026-07-10,0.36170217562870643,2026-06-23,0.3039216350839957,2026-07-10,0.5199999809265137,proxy/other,2,"ARS,DEF 14A",proxy/other
ABEO,27,6.230000019073486,5.559999942779541,8935680.133152008,0.09187279062635856,2026-06-30,0.17685944811420762,2026-07-01,0.08347826418669335,2026-07-01,0.17685944811420762,insider,2,"4,S-8","insider,proxy/other"
ABG,27,248.25999450683594,196.1999969482422,44297610.260009766,0.06331629960360408,2026-07-28,0.11758348423946496,2026-07-23,0.26534147996101787,2026-07-23,0.11758348423946496,NO KNOWN CAUSE,0,,
ABT,27,108.0,87.83000183105469,1109678132.5798035,0.10709091013201921,2026-07-16,0.12658231742675308,2026-07-15,0.22964815835644958,2026-07-16,0.12658231742675308,8-K,1,8-K,8-K
ABTC,27,5.190000057220459,5.190000057220459,8896185.970592499,0.1213171250570324,2026-07-21,0.19814808813469353,2026-07-14,-0.5738916315942114,2026-07-21,0.19814808813469353,NO KNOWN CAUSE,0,,
ACDC,27,3.609999895095825,3.609999895095825,6884748.150444031,0.07855623833596592,2026-07-08,0.13375798499754898,2026-07-07,-0.40916533286237533,2026-07-07,0.13375798499754898,8-K,1,8-K,8-K
ACH,27,3.319999933242798,3.130000114440918,1561244.0570831299,0.07121662245900251,2026-07-14,0.14545455333615154,2026-07-09,0.03749996367842012,2026-07-09,0.14545455333615154,NO KNOWN CAUSE,0,,
ACHR,27,4.480000019073486,4.440000057220459,155679220.06759644,0.19594591764571323,2026-07-20,0.16703290553531414,2026-07-13,-0.17495392988912872,2026-07-20,0.19594591764571323,NO KNOWN CAUSE,0,,
ACIC,27,11.050000190734863,9.9399995803833,2785945.8852767944,0.043227648017401865,2026-07-28,0.11167008623845032,2026-07-22,0.029822988084847735,2026-07-22,0.11167008623845032,insider,1,4,insider
ACMR,27,65.30000305175781,65.30000305175781,123875929.06951904,0.15450800434649925,2026-07-21,0.28016541438225495,2026-06-23,-0.36706402819910644,2026-07-21,0.28016541438225495,NO KNOWN CAUSE,0,,
ACRV,27,1.4299999475479126,1.4299999475479126,493908.0134153366,0.09677416460405763,2026-07-08,0.18497105763858657,2026-07-01,-0.09493676664125794,2026-07-01,0.18497105763858657,NO KNOWN CAUSE,0,,
ACU,27,59.900001525878906,45.06999969482422,616968.0221557617,0.1427015036887871,2026-07-23,0.305010883106543,2026-07-22,0.329043752639691,2026-07-23,0.305010883106543,8-K,3,"4,8-K","8-K,insider"
ADAG,27,3.7200000286102295,3.200000047683716,1005423.9824295044,0.13809533973400212,2026-07-01,0.16249999161809692,2026-07-24,-0.031249970896168877,2026-07-01,0.16249999161809692,NO KNOWN CAUSE,0,,
ADBE,27,263.42999267578125,193.41000366210938,1285690244.8913574,0.060988841745205136,2026-07-24,0.24159869420378177,2026-07-23,0.3516162181908258,2026-07-23,0.24159869420378177,8-K,9,"4,8-K","8-K,insider"
ADP,27,273.3699951171875,214.60000610351562,562451400.0,0.052601022280966525,2026-07-01,0.12553520101041737,2026-07-23,0.27385828211637264,2026-07-23,0.12553520101041737,NO KNOWN CAUSE,0,,
ADSK,27,245.25,187.72000122070312,471493515.03448486,0.07704411757859053,2026-07-27,0.20515970515970516,2026-07-22,0.30646707013206664,2026-07-22,0.20515970515970516,NO KNOWN CAUSE,0,,
AEBI,27,13.09000015258789,11.279999732971191,3630483.9879989624,0.050039722542133624,2026-07-16,0.1719858670197516,2026-07-09,0.04887825582742411,2026-07-09,0.1719858670197516,NO KNOWN CAUSE,0,,
AEHR,27,65.4000015258789,65.4000015258789,171957232.15026855,0.2785677725146527,2026-07-21,0.37355923799292157,2026-07-14,-0.42292419951273663,2026-07-21,0.37355923799292157,8-K,8,"144,4,8-K","8-K,insider"
AEIS,27,252.49000549316406,252.49000549316406,223739596.98791504,0.082089204136786,2026-07-21,0.10231207282971777,2026-07-16,-0.3496381053806381,2026-07-16,0.10231207282971777,passive stake,1,SCHEDULE 13G/A,passive stake
AEYE,27,5.71999979019165,5.590000152587891,532818.0016994476,0.11213510239180335,2026-07-06,0.31382979128143806,2026-06-29,-0.05921054901838996,2026-07-06,0.31382979128143806,insider,5,4,insider
AGCO,27,116.16999816894531,111.22000122070312,76196822.83630371,0.049109918765614546,2026-07-22,0.10662848261314983,2026-07-21,0.019750702564647282,2026-07-21,0.10662848261314983,insider,5,4,insider
AGEN,27,6.630000114440918,2.880000114440918,7468422.023820877,0.8268656894873345,2026-07-13,0.7947213288905908,2026-07-06,1.180921117643571,2026-07-13,0.8268656894873345,8-K,5,"4,8-K","8-K,insider"
AGIO,27,35.0099983215332,35.0099983215332,30658140.47241211,0.17705266220778637,2026-07-07,0.15693999112310753,2026-06-29,-0.00256410702280363,2026-07-07,0.17705266220778637,passive stake,3,"144,4,SCHEDULE 13G","insider,passive stake"
AGPU,27,7.019999980926514,6.46999979019165,1621853.9917945862,0.26783117659952493,2026-07-20,0.36091293157842763,2026-07-14,-0.016806706975212804,2026-07-20,0.36091293157842763,offering/dilution,1,S-3/A,offering/dilution
AGRO,27,9.710000038146973,9.109999656677246,7230463.838386536,0.0602910530775278,2026-07-08,0.10341467508455593,2026-07-15,0.06120223420366111,2026-07-15,0.10341467508455593,NO KNOWN CAUSE,0,,
AGX,27,492.3500061035156,492.3500061035156,201308647.35717773,0.09237017379839596,2026-07-20,0.10007118965879358,2026-07-16,-0.37677214417276506,2026-07-16,0.10007118965879358,NO KNOWN CAUSE,0,,
AHCO,27,10.789999961853027,9.65999984741211,11417784.298324585,0.03925422852564475,2026-07-15,0.10009818447169194,2026-07-14,0.11697723936751836,2026-07-14,0.10009818447169194,8-K,1,8-K,8-K
