cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
438417,5776,ACTB,M3,crop_raw/6a8730aae2fb86a9f529d111be41b13cbecc6b9cb79d8d058a821bd17e011a65_raw.ome.tif,crop_seg/cb10bc65611ba2ad487a1f61af4bdfe00006e8ff608f1b5732dcbbcc88d60012_segmentation.ome.tif,0.108333,3500001222,44213
806404,16625,ACTB,M1M2,crop_raw/e3e565ae81b7f51edca98665a073246cab2472bcf882ba8c0f658c6c99b00714_raw.ome.tif,crop_seg/339415d05152a0d3ca8d3a17ee1ab68f11d84a2ba18cf7d0fc28bd69a05ac86e_segmentation.ome.tif,0.108333,3500001307,53717
471344,6216,ACTB,M4M5,crop_raw/3e8a8bf3fc5e2f36b6dc53bc2313125567a00c8d5750e41d24da830e8068df9f_raw.ome.tif,crop_seg/e86afbef91c41d3865addf48c5ed0fc4b2d41b0769587eca8ef44fe2053a2bbf_segmentation.ome.tif,0.108333,3500001308,53632
772781,15826,ACTB,M1M2,crop_raw/d6e678770edf73863955b3c2c9d8ec3c8028a83ac43258d68ee2b7f56bd98e21_raw.ome.tif,crop_seg/db1c373e3a677b17928c88f9d5ad7252bfa0029ff3cd4ebff0035c52e09016f2_segmentation.ome.tif,0.108333,3500001199,43745
412659,5242,ACTB,M4M5,crop_raw/f8641256660f9f76431bb91d0979d0c4d09457ac9c08f220ccbff56529942ee5_raw.ome.tif,crop_seg/31e8418340305eb055eaee0e159306d0f6c3ddd294c6ab140fe64b488f4934b7_segmentation.ome.tif,0.108333,3500001200,43637
417381,5496,ACTB,M1M2,crop_raw/8d80f4f426f35d190c22fb81b231dbfaa6fdf429be430b9fcf2876ad89465f91_raw.ome.tif,crop_seg/6e78f074c151a1e109bd2c42c2323193e64076cee917ac32a2d8210f0a56100a_segmentation.ome.tif,0.108333,3500001221,44321
782598,16079,ACTB,M1M2,crop_raw/62e5721b6e416d4322e4300f4e6990de6c7272adb5429811ce4f62a677e69ad8_raw.ome.tif,crop_seg/8ebc35916f25ca03d95cd789f99dc541e5c9dc90fb1b19225a2a45a85583a15f_segmentation.ome.tif,0.108333,3500001307,53729
763622,15585,ACTB,M1M2,crop_raw/03dbe719702055d6f494a2e3992441cc0e4a797c6c561d793f83c1bfb08de0d4_raw.ome.tif,crop_seg/5c3f91051e7e06868052d7aff245a4919ed5a1c68dddd5fbca170d3db6e6c8f2_segmentation.ome.tif,0.108333,3500001199,43734
416537,5478,ACTB,M4M5,crop_raw/76f3e6e9cb14236b4c9108e55cc36c0bf3257cc0b8fd56c4e3e7b1b8d8388d18_raw.ome.tif,crop_seg/b0ef8391086bbb0b25ceab512c9f66ed365e23554b03725d9ff0dc0c0ddcc3bc_segmentation.ome.tif,0.108333,3500001221,44324
439388,5785,ACTB,M4M5,crop_raw/bfe4564d50c57169678f93153e5305228ffe6613e6dc1c3e42f1045879e4bcd7_raw.ome.tif,crop_seg/5d1d945a21378b73267ef441dec5d885ab63d89f8ee1abe4a7dfbb536ec28d07_segmentation.ome.tif,0.108333,3500001222,44214
416980,5488,ACTB,M4M5,crop_raw/a621070b8a21a8b452cd979fd5e6cbda12faecd10660e7f7bd9ebb1208f9fd07_raw.ome.tif,crop_seg/794643279cf4dc7a203c63a226e87fa7d3e082cc234b5ac55ea1d2cd99eeaa22_segmentation.ome.tif,0.108333,3500001221,44321
766316,15642,ACTB,M4M5,crop_raw/13b4e8dd09c2ed564f42fa6a854069fd9f5927c4fe0dc84d936c2024ee83f652_raw.ome.tif,crop_seg/970aa4f73ed5023d286904551dc756110aab67d3c50a8229efa2b052a7939013_segmentation.ome.tif,0.108333,3500001309,53540
413106,5255,ACTB,M3,crop_raw/866cd61d34f5e02aed1159b73f0dc91657c2386635b32d7192ca6c81c13c4fc8_raw.ome.tif,crop_seg/38587ad45e965e3a2366962387ef2fead4bc3ad460cae043b8d82223002f04ee_segmentation.ome.tif,0.108333,3500001200,43638
808770,16703,ACTB,M3,crop_raw/c9de9a595988ff274575d9f8591db19ee3f2cb4ba0306bfda6d0a9ba68a3fffc_raw.ome.tif,crop_seg/e08219a124d83e2f54f87b3f206596cc5584d360e9a8ba7ff63649d63bfcbba4_segmentation.ome.tif,0.108333,3500001309,53538
412455,5237,ACTB,M4M5,crop_raw/86d27679de2c05d8e68666a92f7d42a5df24c2e200fca74042a4a3874f480e27_raw.ome.tif,crop_seg/db3cb4f48c6cc9b7343f608037353448c7de6f09fc0215a009337d9032db03a9_segmentation.ome.tif,0.108333,3500001200,43637
